127.0.0.1 - - [20/Jul/2022:10:23:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:53 +0530] "GET /HealthCareProject/HomePage.jsp HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:53 +0530] "GET /HealthCareProject/css/style.css HTTP/1.1" 200 5987
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:53 +0530] "GET /HealthCareProject/img/2855.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:53 +0530] "GET /HealthCareProject/img/Medical.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:55 +0530] "GET /HealthCareProject/AdminLogin.jsp HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:55 +0530] "GET /HealthCareProject/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:55 +0530] "GET /HealthCareProject/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:55 +0530] "GET /HealthCareProject/img/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:55 +0530] "GET /HealthCareProject/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:56 +0530] "GET /HealthCareProject/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:23:56 +0530] "GET /HealthCareProject/fonts/poppins/poppins-v5-latin-500.woff2 HTTP/1.1" 404 821
